Ward,Tulsi Gabbard,Amy Klobuchar,John Delaney,Deval Patrick,Bernie Sanders,Andrew Yang,Pete Buttigieg,Tom Steyer,Elizabeth Warren,Michael Bennet,Michael R Bloomberg,Joe Biden,Uninstructed Delegation,Write In ,Over Votes,Under Votes 
31,0,1,0,1,47,0,0,0,1,0,0,69,1,0,0,2
32,1,3,0,0,132,1,2,1,2,0,3,263,2,2,0,3
33,4,3,2,0,144,4,1,0,5,0,7,445,3,1,0,9
34,3,2,1,0,90,3,0,0,6,0,2,163,0,1,0,7
35,0,0,0,1,61,1,1,0,0,1,0,122,0,1,0,3
36,0,0,0,0,63,0,0,0,0,1,0,145,0,0,0,3
37,0,1,0,0,42,1,1,0,5,0,0,87,0,0,0,4
38,0,1,0,0,30,4,0,1,2,0,5,106,0,0,0,1
39,0,0,0,1,49,3,0,0,3,0,2,110,0,0,0,2
40,0,0,0,0,52,1,0,0,4,0,5,123,0,0,2,5
41,0,0,0,0,44,0,0,0,0,0,2,111,1,0,0,4
42,0,0,0,0,74,5,0,0,2,0,4,182,2,0,0,2
43,0,0,0,0,16,0,0,0,0,0,0,48,0,0,0,1
44,1,1,0,0,71,1,0,0,1,0,3,210,1,0,0,2
45,0,0,0,0,42,0,0,0,2,0,4,167,2,0,0,11
46,0,0,0,1,38,1,0,3,2,0,0,61,0,0,0,4
47,0,0,0,2,61,1,1,1,0,1,3,136,1,0,0,3
48,0,0,0,0,22,1,1,0,0,0,1,94,0,0,0,4
49,0,0,0,0,26,0,0,1,3,0,0,91,0,0,0,4
50,0,0,0,0,28,0,0,0,0,0,1,81,0,1,0,2
51,0,0,0,0,25,1,0,0,0,0,1,89,0,0,0,0
52,0,0,0,0,28,0,0,0,2,0,1,126,2,0,0,3
53,0,0,0,0,22,1,0,0,1,0,0,58,0,0,0,1
54,0,0,0,0,26,0,0,0,3,0,0,87,0,0,0,1
55,0,1,1,0,106,0,1,0,2,0,4,211,2,1,0,10
56,1,0,3,0,42,0,0,0,1,0,0,143,2,0,0,2
57,0,3,0,0,29,1,1,0,3,0,0,163,0,1,0,4
58,0,0,0,2,38,0,0,0,1,0,2,159,0,0,0,2
59,0,0,0,0,78,0,0,0,5,0,8,322,2,0,0,11
60,0,0,0,0,38,0,0,0,2,1,3,169,0,1,0,5
61,0,0,0,0,29,1,0,0,2,0,0,163,0,1,0,0
62,0,0,0,0,24,2,0,0,2,0,1,122,0,0,0,5
63,0,0,0,0,28,0,0,0,0,1,0,111,0,0,0,5
64,0,0,0,0,60,0,0,1,4,0,8,229,1,0,0,5
65,0,1,0,0,75,1,0,0,2,0,3,217,1,0,0,4
66,0,0,1,0,30,1,0,1,3,1,2,98,0,0,0,3
67,0,2,0,0,20,0,0,0,2,0,1,94,0,0,0,0
68,2,2,0,0,82,2,0,0,2,1,0,209,0,0,0,3
69,1,0,1,0,36,1,1,0,1,0,6,190,0,0,0,4
70,1,2,1,0,86,0,0,1,4,0,3,316,1,1,0,10
71,0,0,0,0,45,0,0,0,2,0,4,171,0,0,0,4
72,0,0,0,0,72,1,0,0,5,0,3,242,0,1,0,3
73,0,1,0,0,90,1,0,0,2,0,3,216,0,1,0,9
74,0,0,0,0,52,0,1,0,2,0,1,142,0,0,0,6
75,3,2,0,0,79,3,0,1,2,0,3,160,0,4,0,6
76,0,0,0,2,41,0,0,1,3,0,2,153,1,0,0,5
77,0,1,0,0,49,0,0,0,1,0,1,114,0,0,0,3
78,2,0,2,0,86,1,0,0,4,1,2,181,0,1,0,7
79,0,2,1,0,88,1,2,0,2,0,2,221,1,0,0,3
80,1,1,0,0,129,2,0,0,11,1,2,326,3,0,0,4
81,1,0,0,0,68,2,0,0,1,0,1,89,0,0,0,1
82,4,3,0,0,117,0,1,1,6,0,0,159,1,0,0,0
83,1,0,0,0,146,1,6,0,8,0,4,161,1,0,0,0
84,0,1,0,0,122,2,1,0,6,0,1,86,0,1,0,2
85,4,2,0,0,136,1,2,0,16,0,4,193,1,0,0,4
86,2,3,0,0,135,1,4,0,11,0,2,192,1,0,0,1
87,1,1,0,0,117,1,1,0,5,0,2,96,0,0,0,4
88,0,0,0,0,138,3,2,0,5,1,2,143,2,1,0,1
89,1,2,0,0,121,1,0,0,7,0,1,172,2,2,0,5
90,0,0,1,0,101,5,0,0,2,0,1,194,6,0,0,0
91,0,0,0,0,93,3,2,0,3,1,3,262,0,0,0,7
92,3,1,0,0,193,2,1,0,15,0,3,257,2,0,0,7
93,1,0,0,0,128,3,1,0,7,1,3,165,1,0,0,2
94,1,0,0,0,22,0,0,0,0,1,0,78,0,0,0,2
95,0,0,0,0,41,0,1,1,2,0,0,111,0,0,0,3
96,0,0,0,0,100,1,2,0,4,0,2,297,1,0,0,5
97,0,1,0,0,80,1,2,0,6,1,3,216,0,0,0,4
98,0,1,0,0,65,0,0,0,2,0,1,191,0,0,0,8
99,1,2,0,0,91,2,2,0,4,0,3,271,0,0,0,7
100,0,0,1,0,35,0,1,1,4,1,1,165,2,0,0,2
101,0,0,1,0,64,1,0,0,2,0,2,249,0,0,0,6
102,0,0,0,0,93,2,0,0,7,0,1,307,0,0,0,3
